frame,t_sec,knee_flexion_deg,knee_included_deg,ankle_shank_foot_deg,hip_sagittal_deg,support_knee_flexion_deg,knee_ext_vel_dps,shank_ang_vel_dps,thigh_ang_vel_dps,pelvis_shoulder_sep_deg,foot_speed_rel_ms,foot_speed_abs_ms
0.000000,0.000000,88.432317,91.567683,73.028123,-102.450371,27.594009,-180.518938,195.515627,133.736857,-24.600365,1.388394,0.256728
1.000000,0.004167,89.347065,90.652935,72.515502,-101.118286,27.193979,-112.413939,127.482330,93.894171,-23.813288,0.942969,0.094729
2.000000,0.008333,89.454706,90.545294,72.517780,-101.114320,27.166399,-61.150283,74.983290,65.708265,-23.805827,0.601008,0.278126
3.000000,0.012500,89.575438,90.424562,72.559869,-101.208197,27.251228,-26.727968,37.980924,49.088778,-23.729166,0.364716,0.476822
4.000000,0.016667,89.689859,90.310141,72.592549,-101.246827,27.229627,-9.146995,16.290995,41.549406,-23.708747,0.232564,0.649290
5.000000,0.020833,89.803514,90.196486,72.625020,-101.146615,27.180908,-29.525340,32.592695,49.847072,-23.585369,0.297657,0.846272
6.000000,0.025000,89.849509,90.150491,72.498433,-101.244978,26.963037,-34.288582,27.143171,44.541478,-23.568385,0.273689,0.962569
7.000000,0.029167,90.052415,89.947585,72.558246,-101.078899,26.867832,-36.002098,24.070850,37.779462,-23.554331,0.249492,1.003707
8.000000,0.033333,90.290652,89.709348,72.750624,-100.928533,26.876405,-35.388099,20.416947,32.729835,-23.509654,0.236206,0.973367
9.000000,0.037500,90.332258,89.667742,72.773711,-100.902533,26.897014,-29.358807,13.943355,27.661288,-23.527630,0.247527,0.973294
10.000000,0.041667,90.443715,89.556285,72.874588,-100.877233,26.907113,-27.129651,11.460540,28.121526,-23.543148,0.251255,1.001122
11.000000,0.045833,90.580890,89.419110,72.995142,-100.796101,26.884687,-29.359718,13.466039,33.955813,-23.582065,0.212218,0.993907
12.000000,0.050000,90.680070,89.319930,72.994066,-100.695940,26.890827,-31.821538,21.463038,29.528287,-23.593757,0.170365,0.941969
13.000000,0.054167,90.895315,89.104685,73.122795,-100.563887,26.829648,-25.843184,23.354239,17.873294,-23.595242,0.108430,0.905231
14.000000,0.058333,90.917941,89.082059,73.083324,-100.623015,26.837684,-23.388549,25.218509,13.834239,-23.623277,0.111494,0.806906
15.000000,0.062500,91.008173,88.991827,73.045078,-100.654466,26.939446,-22.914687,21.796035,13.376944,-23.637709,0.169693,0.731419
16.000000,0.066667,91.100032,88.899968,73.149693,-100.806736,26.952232,-20.667129,16.018239,10.412426,-23.702579,0.213845,0.685632
17.000000,0.070833,91.235874,88.764126,73.237112,-100.909381,26.907025,-18.942153,15.615590,14.921414,-23.706708,0.243105,0.647120
18.000000,0.075000,91.286824,88.713176,73.222155,-100.958449,26.915203,-12.568065,14.217129,16.546636,-23.744159,0.240143,0.574843
19.000000,0.079167,91.294874,88.705126,73.259238,-101.034160,26.922534,-6.320484,7.941830,19.627579,-23.805414,0.198422,0.435158
20.000000,0.083333,91.311692,88.688308,73.465774,-101.510937,26.832754,-4.135346,5.840926,22.288319,-23.826111,0.172545,0.320554
21.000000,0.087500,91.372266,88.627734,73.569780,-101.568028,26.790774,-6.369927,10.049659,24.768152,-23.847521,0.153132,0.231447
22.000000,0.091667,91.357169,88.642831,73.626249,-101.712559,26.742850,-6.470130,7.062984,15.284061,-23.885379,0.104395,0.260138
23.000000,0.095833,91.411477,88.588523,73.684190,-101.683795,26.615293,-4.928644,4.331738,7.080058,-23.916227,0.046754,0.290872
24.000000,0.100000,91.423216,88.576784,73.753629,-101.763758,26.547633,-2.300730,4.868955,9.903317,-23.947238,0.065599,0.344233
25.000000,0.104167,91.422747,88.577253,73.741801,-101.875099,26.540438,-3.101225,7.526642,19.197734,-23.985794,0.102346,0.402884
26.000000,0.108333,91.433284,88.566716,74.032028,-102.077433,26.424265,0.423015,7.425918,23.927556,-24.041019,0.119088,0.509334
27.000000,0.112500,91.422014,88.577986,74.279407,-102.363182,26.337512,1.101132,4.277567,22.518936,-24.026445,0.110695,0.696679
28.000000,0.116667,91.448738,88.551262,74.363742,-102.378706,26.341154,3.306917,2.977772,14.291945,-24.067588,0.072762,0.846651
29.000000,0.120833,91.383360,88.616640,74.433582,-102.570323,26.290838,5.390009,11.337918,3.215530,-23.933235,0.034783,0.957902
30.000000,0.125000,91.391295,88.608705,74.440418,-102.546998,26.231024,4.600081,11.491879,2.982641,-23.921350,0.019878,0.983490
31.000000,0.129167,91.356400,88.643600,74.399564,-102.560934,26.203697,4.319886,8.035151,1.784680,-23.940002,0.017775,0.910479
32.000000,0.133333,91.353140,88.646860,74.400812,-102.575118,26.217289,0.000137,2.399257,2.541015,-23.960697,0.004840,0.759234
33.000000,0.137500,91.369242,88.630758,74.449779,-102.670984,26.202080,-4.044898,1.765649,5.125163,-23.983118,0.013572,0.719519
34.000000,0.141667,91.356880,88.643120,74.535851,-102.729566,26.183153,-8.196169,4.109011,7.510053,-23.983241,0.050764,0.675335
35.000000,0.145833,91.431401,88.568599,74.430196,-102.600576,26.216508,-6.816744,6.722413,5.592998,-24.000602,0.074563,0.588643
36.000000,0.150000,91.469651,88.530349,74.616531,-102.511276,26.210893,-5.148226,8.323034,4.770469,-24.029355,0.083806,0.493577
37.000000,0.154167,91.453719,88.546281,74.665904,-102.655688,26.166578,-0.496638,7.862894,5.836864,-23.997493,0.091112,0.417822
38.000000,0.158333,91.432771,88.567229,74.694317,-102.729923,26.147892,4.997027,8.649156,6.400417,-24.022356,0.098346,0.290782
39.000000,0.162500,91.450328,88.549672,74.622242,-102.501653,26.156220,4.360294,8.889835,9.416891,-24.066040,0.086159,0.176496
40.000000,0.166667,91.393715,88.606285,74.697122,-102.501081,26.162122,3.265167,8.765821,9.193786,-24.063767,0.090262,0.248390
41.000000,0.170833,91.389920,88.610080,74.648852,-102.556213,26.152114,4.040262,7.859363,5.675199,-24.118344,0.076712,0.381190
42.000000,0.175000,91.400625,88.599375,74.579960,-102.514749,26.200577,2.912849,3.803724,2.960175,-24.168804,0.060768,0.571853
43.000000,0.179167,91.368001,88.631999,74.573990,-102.517865,26.176930,0.647468,2.149928,3.057167,-24.180813,0.062644,0.737988
44.000000,0.183333,91.355409,88.644591,74.379730,-102.603854,26.191761,0.965010,0.457824,4.084182,-24.192977,0.047791,0.919878
45.000000,0.187500,91.383898,88.616102,74.309706,-102.719730,26.221255,-0.585336,4.058360,4.429147,-24.199310,0.037725,1.055917
46.000000,0.191667,91.372660,88.627340,74.258941,-102.757186,26.222589,-1.364258,3.963867,4.552641,-24.214907,0.039262,1.143369
47.000000,0.195833,91.373068,88.626932,74.227611,-102.866924,26.218511,0.417847,1.932373,2.461597,-24.124788,0.053346,1.221595
48.000000,0.200000,91.381967,88.618033,73.919505,-102.900798,26.229689,1.477729,7.092163,1.784767,-24.134834,0.088075,1.174111
49.000000,0.204167,91.362069,88.637931,73.768017,-102.987667,26.215538,1.040083,4.376911,3.190568,-24.109586,0.069398,1.240771
50.000000,0.208333,91.356042,88.643958,73.716360,-103.232070,26.208816,1.784981,2.910426,3.834830,-24.102864,0.056406,1.278382
51.000000,0.212500,91.357744,88.642256,73.627358,-103.336465,26.212078,2.827350,1.322693,4.283929,-24.101524,0.041237,1.396122
52.000000,0.216667,91.343870,88.656130,73.575905,-103.454911,26.185228,2.993623,1.126672,2.270570,-24.067247,0.056049,1.489381
53.000000,0.220833,91.323852,88.676148,73.379384,-103.528883,26.208068,3.208917,4.283849,0.311997,-24.071643,0.059129,1.488296
54.000000,0.225000,91.302304,88.697696,73.322470,-103.642890,26.197657,5.591456,7.135011,1.338926,-24.075592,0.050924,1.477294
55.000000,0.229167,91.300670,88.699330,73.323954,-103.646708,26.200818,4.627325,8.182143,1.078981,-24.071004,0.038477,1.437424
56.000000,0.233333,91.282642,88.717358,73.364762,-103.634987,26.219726,0.143073,5.410625,4.601893,-24.076214,0.034585,1.302497
57.000000,0.237500,91.236589,88.763411,73.344187,-103.654944,26.298457,-3.487945,4.497791,8.381727,-24.082633,0.027702,1.102966
58.000000,0.241667,91.306458,88.693542,73.269906,-103.440124,26.313287,-1.632095,4.384172,10.089401,-24.114629,0.034129,0.994468
